
[TRAIN] Epoch: 1, Accuracy: 0.13496, Error: 0.86504, Loss: 2.860360235366821, Time elapsed: 0:02:00
[TEST] Epoch: 1, Accuracy: 0.1994, Error: 0.8006, Loss: 2.0486220375061035, Time elapsed: 0:00:13

[TRAIN] Epoch: 2, Accuracy: 0.2764, Error: 0.7236, Loss: 1.8959552310180665, Time elapsed: 0:02:01
[TEST] Epoch: 2, Accuracy: 0.363, Error: 0.637, Loss: 1.6713656574249267, Time elapsed: 0:00:13

[TRAIN] Epoch: 3, Accuracy: 0.37682, Error: 0.62318, Loss: 1.6483522774124146, Time elapsed: 0:02:01
[TEST] Epoch: 3, Accuracy: 0.4605, Error: 0.5395, Loss: 1.4429548828125, Time elapsed: 0:00:13

[TRAIN] Epoch: 4, Accuracy: 0.4609, Error: 0.5391, Loss: 1.4657053706359864, Time elapsed: 0:02:01
[TEST] Epoch: 4, Accuracy: 0.5365, Error: 0.4635, Loss: 1.275486781311035, Time elapsed: 0:00:13

[TRAIN] Epoch: 5, Accuracy: 0.5266, Error: 0.4734, Loss: 1.314755661201477, Time elapsed: 0:02:03
[TEST] Epoch: 5, Accuracy: 0.5704, Error: 0.4296, Loss: 1.1720881660461426, Time elapsed: 0:00:13

[TRAIN] Epoch: 6, Accuracy: 0.58808, Error: 0.41192, Loss: 1.1562421632385254, Time elapsed: 0:02:03
[TEST] Epoch: 6, Accuracy: 0.6514, Error: 0.3486, Loss: 0.9703290654182434, Time elapsed: 0:00:13

[TRAIN] Epoch: 7, Accuracy: 0.6395, Error: 0.3605, Loss: 1.0184845433425904, Time elapsed: 0:02:03
[TEST] Epoch: 7, Accuracy: 0.6927, Error: 0.3073, Loss: 0.8742546426773071, Time elapsed: 0:00:12

[TRAIN] Epoch: 8, Accuracy: 0.68132, Error: 0.31868, Loss: 0.9132806552886963, Time elapsed: 0:02:00
[TEST] Epoch: 8, Accuracy: 0.7255, Error: 0.2745, Loss: 0.8021481546401977, Time elapsed: 0:00:13

[TRAIN] Epoch: 9, Accuracy: 0.7075, Error: 0.2925, Loss: 0.8341771259689331, Time elapsed: 0:02:03
[TEST] Epoch: 9, Accuracy: 0.714, Error: 0.286, Loss: 0.8543789058685303, Time elapsed: 0:00:13

[TRAIN] Epoch: 10, Accuracy: 0.73092, Error: 0.26908, Loss: 0.7699631079101562, Time elapsed: 0:02:03
[TEST] Epoch: 10, Accuracy: 0.7672, Error: 0.2328, Loss: 0.681815180015564, Time elapsed: 0:00:13

[TRAIN] Epoch: 11, Accuracy: 0.75092, Error: 0.24908, Loss: 0.7155170051193237, Time elapsed: 0:02:02
