
[TRAIN] Epoch: 1, Accuracy: 0.4975, Error: 0.5025, Loss: 1.5094589336586, Time elapsed: 0:01:22
[TEST] Epoch: 1, Accuracy: 0.7008, Error: 0.2992, Loss: 0.8405100975036621, Time elapsed: 0:00:10

[TRAIN] Epoch: 2, Accuracy: 0.69776, Error: 0.30224, Loss: 0.8609307142066955, Time elapsed: 0:01:22
[TEST] Epoch: 2, Accuracy: 0.7634, Error: 0.2366, Loss: 0.692365189743042, Time elapsed: 0:00:10

[TRAIN] Epoch: 3, Accuracy: 0.75474, Error: 0.24526, Loss: 0.7053276744270325, Time elapsed: 0:01:22
[TEST] Epoch: 3, Accuracy: 0.7864, Error: 0.2136, Loss: 0.6016665753364563, Time elapsed: 0:00:10

[TRAIN] Epoch: 4, Accuracy: 0.78646, Error: 0.21354, Loss: 0.613985026397705, Time elapsed: 0:01:22
[TEST] Epoch: 4, Accuracy: 0.8052, Error: 0.1948, Loss: 0.5713386993408203, Time elapsed: 0:00:10

[TRAIN] Epoch: 5, Accuracy: 0.80914, Error: 0.19086, Loss: 0.5521823770523071, Time elapsed: 0:01:22
[TEST] Epoch: 5, Accuracy: 0.8419, Error: 0.1581, Loss: 0.45604879503250123, Time elapsed: 0:00:10

[TRAIN] Epoch: 6, Accuracy: 0.81928, Error: 0.18072, Loss: 0.5134346395683289, Time elapsed: 0:01:22
[TEST] Epoch: 6, Accuracy: 0.8623, Error: 0.1377, Loss: 0.39744626808166506, Time elapsed: 0:00:10

[TRAIN] Epoch: 7, Accuracy: 0.83394, Error: 0.16606, Loss: 0.47385477436065676, Time elapsed: 0:01:22
[TEST] Epoch: 7, Accuracy: 0.8577, Error: 0.1423, Loss: 0.4121184139251709, Time elapsed: 0:00:10

[TRAIN] Epoch: 8, Accuracy: 0.84412, Error: 0.15588, Loss: 0.44460244930267334, Time elapsed: 0:01:22
[TEST] Epoch: 8, Accuracy: 0.8709, Error: 0.1291, Loss: 0.38013292942047117, Time elapsed: 0:00:10

[TRAIN] Epoch: 9, Accuracy: 0.8544, Error: 0.1456, Loss: 0.4216650750732422, Time elapsed: 0:01:22
[TEST] Epoch: 9, Accuracy: 0.8702, Error: 0.1298, Loss: 0.37843204154968263, Time elapsed: 0:00:10

[TRAIN] Epoch: 10, Accuracy: 0.86234, Error: 0.13766, Loss: 0.39740208408355715, Time elapsed: 0:01:22
[TEST] Epoch: 10, Accuracy: 0.8732, Error: 0.1268, Loss: 0.3625940197944641, Time elapsed: 0:00:10
Time Elapsed: 0:15:28, average time per epoch: 0:01:22
