
[TRAIN] Epoch: 1, Accuracy: 0.47102, Error: 0.52898, Loss: 1.664571008605957, Time elapsed: 0:01:43
[TEST] Epoch: 1, Accuracy: 0.6538, Error: 0.3462, Loss: 0.982187347984314, Time elapsed: 0:00:15

[TRAIN] Epoch: 2, Accuracy: 0.64644, Error: 0.35356, Loss: 0.9996229484176635, Time elapsed: 0:01:43
[TEST] Epoch: 2, Accuracy: 0.7356, Error: 0.2644, Loss: 0.748540346622467, Time elapsed: 0:00:15

[TRAIN] Epoch: 3, Accuracy: 0.70368, Error: 0.29632, Loss: 0.844912652053833, Time elapsed: 0:01:43
[TEST] Epoch: 3, Accuracy: 0.7671, Error: 0.2329, Loss: 0.6631191061973571, Time elapsed: 0:00:15

[TRAIN] Epoch: 4, Accuracy: 0.7344, Error: 0.2656, Loss: 0.7583676303100586, Time elapsed: 0:01:43
[TEST] Epoch: 4, Accuracy: 0.7783, Error: 0.2217, Loss: 0.6303616130828857, Time elapsed: 0:00:15

[TRAIN] Epoch: 5, Accuracy: 0.75792, Error: 0.24208, Loss: 0.6950224148559571, Time elapsed: 0:01:43
[TEST] Epoch: 5, Accuracy: 0.8029, Error: 0.1971, Loss: 0.5726129962921143, Time elapsed: 0:00:15

[TRAIN] Epoch: 6, Accuracy: 0.77162, Error: 0.22838, Loss: 0.6492192342948914, Time elapsed: 0:01:43
[TEST] Epoch: 6, Accuracy: 0.8182, Error: 0.1818, Loss: 0.5344431241035461, Time elapsed: 0:00:15

[TRAIN] Epoch: 7, Accuracy: 0.78596, Error: 0.21404, Loss: 0.6115981755256653, Time elapsed: 0:01:43
[TEST] Epoch: 7, Accuracy: 0.8258, Error: 0.1742, Loss: 0.49793099927902224, Time elapsed: 0:00:15

[TRAIN] Epoch: 8, Accuracy: 0.79766, Error: 0.20234, Loss: 0.57887896484375, Time elapsed: 0:01:43
[TEST] Epoch: 8, Accuracy: 0.8284, Error: 0.1716, Loss: 0.4958159638404846, Time elapsed: 0:00:15

[TRAIN] Epoch: 9, Accuracy: 0.80784, Error: 0.19216, Loss: 0.5468848859786988, Time elapsed: 0:01:43
[TEST] Epoch: 9, Accuracy: 0.8423, Error: 0.1577, Loss: 0.44753799428939817, Time elapsed: 0:00:15

[TRAIN] Epoch: 10, Accuracy: 0.81648, Error: 0.18352, Loss: 0.5247704652023315, Time elapsed: 0:01:43
[TEST] Epoch: 10, Accuracy: 0.8364, Error: 0.1636, Loss: 0.4686870443344116, Time elapsed: 0:00:15
Time Elapsed: 0:19:39, average time per epoch: 0:01:43
