
[TRAIN] Epoch: 1, Accuracy: 0.2328, Error: 0.7672, Loss: 2.162621817932129, Time elapsed: 0:03:32
[TEST] Epoch: 1, Accuracy: 0.3883, Error: 0.6117, Loss: 1.6542965589523315, Time elapsed: 0:00:24

[TRAIN] Epoch: 2, Accuracy: 0.37974, Error: 0.62026, Loss: 1.6740513439559936, Time elapsed: 0:03:33
[TEST] Epoch: 2, Accuracy: 0.4818, Error: 0.5182, Loss: 1.4340813274383546, Time elapsed: 0:00:25

[TRAIN] Epoch: 3, Accuracy: 0.4734, Error: 0.5266, Loss: 1.4448190563964844, Time elapsed: 0:03:31
[TEST] Epoch: 3, Accuracy: 0.51, Error: 0.49, Loss: 1.3481776430130006, Time elapsed: 0:00:24

[TRAIN] Epoch: 4, Accuracy: 0.54954, Error: 0.45046, Loss: 1.260815544052124, Time elapsed: 0:03:32
[TEST] Epoch: 4, Accuracy: 0.619, Error: 0.381, Loss: 1.072087610435486, Time elapsed: 0:00:23

[TRAIN] Epoch: 5, Accuracy: 0.6044, Error: 0.3956, Loss: 1.1197388698768616, Time elapsed: 0:03:32
[TEST] Epoch: 5, Accuracy: 0.6534, Error: 0.3466, Loss: 0.9730016688346863, Time elapsed: 0:00:26

[TRAIN] Epoch: 6, Accuracy: 0.64062, Error: 0.35938, Loss: 1.029669787940979, Time elapsed: 0:03:31
[TEST] Epoch: 6, Accuracy: 0.6908, Error: 0.3092, Loss: 0.8909139867782593, Time elapsed: 0:00:23

[TRAIN] Epoch: 7, Accuracy: 0.67256, Error: 0.32744, Loss: 0.9505092812347412, Time elapsed: 0:03:26
[TEST] Epoch: 7, Accuracy: 0.7247, Error: 0.2753, Loss: 0.7995649222373963, Time elapsed: 0:00:23

[TRAIN] Epoch: 8, Accuracy: 0.69694, Error: 0.30306, Loss: 0.8836598713302612, Time elapsed: 0:03:27
[TEST] Epoch: 8, Accuracy: 0.7405, Error: 0.2595, Loss: 0.7635652002334594, Time elapsed: 0:00:24

[TRAIN] Epoch: 9, Accuracy: 0.71382, Error: 0.28618, Loss: 0.8385976073646545, Time elapsed: 0:03:43
[TEST] Epoch: 9, Accuracy: 0.6936, Error: 0.3064, Loss: 0.9013073979377747, Time elapsed: 0:00:23

[TRAIN] Epoch: 10, Accuracy: 0.72378, Error: 0.27622, Loss: 0.8099108264923096, Time elapsed: 0:03:29
[TEST] Epoch: 10, Accuracy: 0.743, Error: 0.257, Loss: 0.749015915775299, Time elapsed: 0:00:23

[TRAIN] Epoch: 11, Accuracy: 0.73736, Error: 0.26264, Loss: 0.7775299362564086, Time elapsed: 0:03:41
[TEST] Epoch: 11, Accuracy: 0.7735, Error: 0.2265, Loss: 0.6888273691177368, Time elapsed: 0:00:24

[TRAIN] Epoch: 12, Accuracy: 0.74844, Error: 0.25156, Loss: 0.7507806445503235, Time elapsed: 0:03:29
[TEST] Epoch: 12, Accuracy: 0.7578, Error: 0.2422, Loss: 0.7181935844421387, Time elapsed: 0:00:23

[TRAIN] Epoch: 13, Accuracy: 0.75308, Error: 0.24692, Loss: 0.7330715674972534, Time elapsed: 0:03:30
[TEST] Epoch: 13, Accuracy: 0.7721, Error: 0.2279, Loss: 0.6865334937095642, Time elapsed: 0:00:23

[TRAIN] Epoch: 14, Accuracy: 0.76098, Error: 0.23902, Loss: 0.7189930971336365, Time elapsed: 0:03:30
[TEST] Epoch: 14, Accuracy: 0.7602, Error: 0.2398, Loss: 0.7055890442848206, Time elapsed: 0:00:25

[TRAIN] Epoch: 15, Accuracy: 0.76944, Error: 0.23056, Loss: 0.6997526696968078, Time elapsed: 0:03:32
[TEST] Epoch: 15, Accuracy: 0.7819, Error: 0.2181, Loss: 0.6782309767723084, Time elapsed: 0:00:23

[TRAIN] Epoch: 16, Accuracy: 0.77124, Error: 0.22876, Loss: 0.6961602031421661, Time elapsed: 0:03:32
[TEST] Epoch: 16, Accuracy: 0.7902, Error: 0.2098, Loss: 0.6334546442031861, Time elapsed: 0:00:26

[TRAIN] Epoch: 17, Accuracy: 0.7777, Error: 0.2223, Loss: 0.6828401921463013, Time elapsed: 0:03:33
[TEST] Epoch: 17, Accuracy: 0.7677, Error: 0.2323, Loss: 0.7424393450736999, Time elapsed: 0:00:23

[TRAIN] Epoch: 18, Accuracy: 0.77524, Error: 0.22476, Loss: 0.6887686456108093, Time elapsed: 0:03:30
[TEST] Epoch: 18, Accuracy: 0.7921, Error: 0.2079, Loss: 0.6476767518997192, Time elapsed: 0:00:23

[TRAIN] Epoch: 19, Accuracy: 0.78454, Error: 0.21546, Loss: 0.6782551763725281, Time elapsed: 0:03:31
[TEST] Epoch: 19, Accuracy: 0.7748, Error: 0.2252, Loss: 0.7214754972457885, Time elapsed: 0:00:23

[TRAIN] Epoch: 20, Accuracy: 0.78304, Error: 0.21696, Loss: 0.6847407649421692, Time elapsed: 0:03:29
[TEST] Epoch: 20, Accuracy: 0.7896, Error: 0.2104, Loss: 0.6544934868812561, Time elapsed: 0:00:23

[TRAIN] Epoch: 21, Accuracy: 0.78648, Error: 0.21352, Loss: 0.6745146469116211, Time elapsed: 0:03:28
[TEST] Epoch: 21, Accuracy: 0.7925, Error: 0.2075, Loss: 0.7034127597808838, Time elapsed: 0:00:23

[TRAIN] Epoch: 22, Accuracy: 0.78874, Error: 0.21126, Loss: 0.6828753828239441, Time elapsed: 0:03:26
[TEST] Epoch: 22, Accuracy: 0.7796, Error: 0.2204, Loss: 0.7084999005317688, Time elapsed: 0:00:23

[TRAIN] Epoch: 23, Accuracy: 0.7872, Error: 0.2128, Loss: 0.6930678323936462, Time elapsed: 0:03:29
[TEST] Epoch: 23, Accuracy: 0.7851, Error: 0.2149, Loss: 0.7329256586074829, Time elapsed: 0:00:23

[TRAIN] Epoch: 24, Accuracy: 0.79, Error: 0.21, Loss: 0.6866828228378296, Time elapsed: 0:03:27
[TEST] Epoch: 24, Accuracy: 0.7767, Error: 0.2233, Loss: 0.7500893119812012, Time elapsed: 0:00:23

[TRAIN] Epoch: 25, Accuracy: 0.79234, Error: 0.20766, Loss: 0.6934504186916352, Time elapsed: 0:03:28
[TEST] Epoch: 25, Accuracy: 0.7908, Error: 0.2092, Loss: 0.7938087573051452, Time elapsed: 0:00:23

[TRAIN] Epoch: 26, Accuracy: 0.78822, Error: 0.21178, Loss: 0.7090715670013428, Time elapsed: 0:03:28
[TEST] Epoch: 26, Accuracy: 0.7935, Error: 0.2065, Loss: 0.859287237071991, Time elapsed: 0:00:23

[TRAIN] Epoch: 27, Accuracy: 0.79578, Error: 0.20422, Loss: 0.6970699085330964, Time elapsed: 0:03:28
[TEST] Epoch: 27, Accuracy: 0.7756, Error: 0.2244, Loss: 0.7621903041839599, Time elapsed: 0:00:23

[TRAIN] Epoch: 28, Accuracy: 0.79544, Error: 0.20456, Loss: 0.7039027014732361, Time elapsed: 0:03:28
[TEST] Epoch: 28, Accuracy: 0.7791, Error: 0.2209, Loss: 0.8252397975444794, Time elapsed: 0:00:23

[TRAIN] Epoch: 29, Accuracy: 0.80076, Error: 0.19924, Loss: 0.7017401159477233, Time elapsed: 0:03:28
[TEST] Epoch: 29, Accuracy: 0.7878, Error: 0.2122, Loss: 0.7170144435882568, Time elapsed: 0:00:23

