
[TRAIN] Epoch: 1, Accuracy: 0.1670966597048746, Error: 0.8329033402951254, Loss: 2.339234960035745, Time elapsed: 0:03:36
[TEST] Epoch: 1, Accuracy: 0.09157959434542103, Error: 0.9084204056545789, Loss: 2.3048331242217266, Time elapsed: 0:00:33

[TRAIN] Epoch: 2, Accuracy: 0.17902726019356513, Error: 0.8209727398064349, Loss: 2.2598221901227697, Time elapsed: 0:03:34
[TEST] Epoch: 2, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2767417655082003, Time elapsed: 0:00:31

[TRAIN] Epoch: 3, Accuracy: 0.18092468979073673, Error: 0.8190753102092633, Loss: 2.255758403753758, Time elapsed: 0:03:35
[TEST] Epoch: 3, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.232849594267439, Time elapsed: 0:00:32

[TRAIN] Epoch: 4, Accuracy: 0.18093834036337825, Error: 0.8190616596366218, Loss: 2.2529033951188033, Time elapsed: 0:03:47
[TEST] Epoch: 4, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.236983537234334, Time elapsed: 0:00:45

[TRAIN] Epoch: 5, Accuracy: 0.1830405285501727, Error: 0.8169594714498273, Loss: 2.2514257310123735, Time elapsed: 0:03:36
[TEST] Epoch: 5, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2277711747831264, Time elapsed: 0:00:33

[TRAIN] Epoch: 6, Accuracy: 0.18245355392658721, Error: 0.8175464460734128, Loss: 2.2496610876627248, Time elapsed: 0:03:33
[TEST] Epoch: 6, Accuracy: 0.1107098955132145, Error: 0.8892901044867855, Loss: 2.2589137819403877, Time elapsed: 0:00:32

[TRAIN] Epoch: 7, Accuracy: 0.18474685013036296, Error: 0.815253149869637, Loss: 2.249174478197019, Time elapsed: 0:03:33
[TEST] Epoch: 7, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.232374543709922, Time elapsed: 0:00:31

[TRAIN] Epoch: 8, Accuracy: 0.18347734687470138, Error: 0.8165226531252986, Loss: 2.248183990596565, Time elapsed: 0:03:33
[TEST] Epoch: 8, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2302202782751084, Time elapsed: 0:00:31

[TRAIN] Epoch: 9, Accuracy: 0.18309513084073878, Error: 0.8169048691592612, Loss: 2.248271826784397, Time elapsed: 0:03:33
[TEST] Epoch: 9, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2338043853558127, Time elapsed: 0:00:31

[TRAIN] Epoch: 10, Accuracy: 0.18448748925017405, Error: 0.815512510749826, Loss: 2.2474649194687752, Time elapsed: 0:03:33
[TEST] Epoch: 10, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.229772500487728, Time elapsed: 0:00:31

[TRAIN] Epoch: 11, Accuracy: 0.18545667990772213, Error: 0.8145433200922779, Loss: 2.2470127414966754, Time elapsed: 0:03:33
[TEST] Epoch: 11, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.228981649501967, Time elapsed: 0:00:32

[TRAIN] Epoch: 12, Accuracy: 0.1859344499501754, Error: 0.8140655500498246, Loss: 2.246927752220063, Time elapsed: 0:03:32
[TEST] Epoch: 12, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2292025568445695, Time elapsed: 0:00:31

[TRAIN] Epoch: 13, Accuracy: 0.18369575603696575, Error: 0.8163042439630342, Loss: 2.24740370431963, Time elapsed: 0:03:34
[TEST] Epoch: 13, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2346961347325567, Time elapsed: 0:00:32

[TRAIN] Epoch: 14, Accuracy: 0.18527922246338233, Error: 0.8147207775366176, Loss: 2.246071558363362, Time elapsed: 0:03:33
[TEST] Epoch: 14, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.238485189764941, Time elapsed: 0:00:36

[TRAIN] Epoch: 15, Accuracy: 0.1839141651992301, Error: 0.8160858348007699, Loss: 2.2459671079525823, Time elapsed: 0:03:53
[TEST] Epoch: 15, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2349750805135584, Time elapsed: 0:00:34

[TRAIN] Epoch: 16, Accuracy: 0.18525192131809928, Error: 0.8147480786819007, Loss: 2.245484622509605, Time elapsed: 0:04:16
[TEST] Epoch: 16, Accuracy: 0.15938076213890595, Error: 0.840619237861094, Loss: 2.238026737800462, Time elapsed: 0:00:38

[TRAIN] Epoch: 17, Accuracy: 0.1859207993775339, Error: 0.8140792006224661, Loss: 2.245135427242184, Time elapsed: 0:04:29
[TEST] Epoch: 17, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.234052361486584, Time elapsed: 0:00:46

[TRAIN] Epoch: 18, Accuracy: 0.18541572818979757, Error: 0.8145842718102024, Loss: 2.2456602687609957, Time elapsed: 0:04:15
[TEST] Epoch: 18, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2256578527203206, Time elapsed: 0:00:36

[TRAIN] Epoch: 19, Accuracy: 0.18545667990772213, Error: 0.8145433200922779, Loss: 2.245198116591885, Time elapsed: 0:04:07
[TEST] Epoch: 19, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.23127092564846, Time elapsed: 0:00:39

[TRAIN] Epoch: 20, Accuracy: 0.18566143849734495, Error: 0.814338561502655, Loss: 2.24527662524229, Time elapsed: 0:04:16
[TEST] Epoch: 20, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2339050037112056, Time elapsed: 0:00:39

[TRAIN] Epoch: 21, Accuracy: 0.18466494669451383, Error: 0.8153350533054862, Loss: 2.2456102573713927, Time elapsed: 0:04:15
[TEST] Epoch: 21, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2353898101447913, Time elapsed: 0:00:38

[TRAIN] Epoch: 22, Accuracy: 0.18484240413885364, Error: 0.8151575958611463, Loss: 2.2454145530932044, Time elapsed: 0:04:14
[TEST] Epoch: 22, Accuracy: 0.15938076213890595, Error: 0.840619237861094, Loss: 2.236977968467989, Time elapsed: 0:00:37

[TRAIN] Epoch: 23, Accuracy: 0.185374776471873, Error: 0.814625223528127, Loss: 2.245251846858288, Time elapsed: 0:04:15
[TEST] Epoch: 23, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.231822673279446, Time elapsed: 0:00:38

[TRAIN] Epoch: 24, Accuracy: 0.18436463409640033, Error: 0.8156353659035996, Loss: 2.245375633161637, Time elapsed: 0:03:55
[TEST] Epoch: 24, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2375215175478607, Time elapsed: 0:00:47

[TRAIN] Epoch: 25, Accuracy: 0.186289364838855, Error: 0.8137106351611451, Loss: 2.244856731502746, Time elapsed: 0:03:36
[TEST] Epoch: 25, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2300832986685126, Time elapsed: 0:00:37

[TRAIN] Epoch: 26, Accuracy: 0.18467859726715535, Error: 0.8153214027328446, Loss: 2.2454288195666767, Time elapsed: 0:03:49
[TEST] Epoch: 26, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2307406742292897, Time elapsed: 0:00:38

[TRAIN] Epoch: 27, Accuracy: 0.18570239021526952, Error: 0.8142976097847304, Loss: 2.244700050829819, Time elapsed: 0:03:42
