
[TRAIN] Epoch: 1, Accuracy: 0.2997392740625469, Error: 0.700260725937453, Loss: 2.070189074211306, Time elapsed: 0:02:00
[TEST] Epoch: 1, Accuracy: 0.5248156115550092, Error: 0.4751843884449908, Loss: 1.404111848627781, Time elapsed: 0:00:26

[TRAIN] Epoch: 2, Accuracy: 0.5559605225439207, Error: 0.4440394774560793, Loss: 1.2910551734388982, Time elapsed: 0:02:00
[TEST] Epoch: 2, Accuracy: 0.6998309772587584, Error: 0.3001690227412416, Loss: 0.8848740038654888, Time elapsed: 0:00:26

[TRAIN] Epoch: 3, Accuracy: 0.6975033102638656, Error: 0.3024966897361344, Loss: 0.8986124614655654, Time elapsed: 0:02:00
[TEST] Epoch: 3, Accuracy: 0.7513444990780578, Error: 0.24865550092194222, Loss: 0.7102578900749873, Time elapsed: 0:00:27

[TRAIN] Epoch: 4, Accuracy: 0.7718306782969545, Error: 0.22816932170304544, Loss: 0.69445108123807, Time elapsed: 0:02:00
[TEST] Epoch: 4, Accuracy: 0.8400814382298709, Error: 0.15991856177012906, Loss: 0.5001087686403002, Time elapsed: 0:00:26

[TRAIN] Epoch: 5, Accuracy: 0.8110487734960482, Error: 0.18895122650395185, Loss: 0.5881981749137356, Time elapsed: 0:02:00
[TEST] Epoch: 5, Accuracy: 0.8457283343577136, Error: 0.15427166564228642, Loss: 0.48124939408416606, Time elapsed: 0:00:27

[TRAIN] Epoch: 6, Accuracy: 0.8338998320979565, Error: 0.1661001679020435, Loss: 0.5220511906357606, Time elapsed: 0:02:00
[TEST] Epoch: 6, Accuracy: 0.8683159188690842, Error: 0.1316840811309158, Loss: 0.4197406607606181, Time elapsed: 0:00:27

[TRAIN] Epoch: 7, Accuracy: 0.847632308175328, Error: 0.15236769182467205, Loss: 0.4763783134783164, Time elapsed: 0:02:00
[TEST] Epoch: 7, Accuracy: 0.8737707437000615, Error: 0.12622925629993853, Loss: 0.40152306969208296, Time elapsed: 0:00:26

[TRAIN] Epoch: 8, Accuracy: 0.8602863890140191, Error: 0.13971361098598087, Loss: 0.4415054763159334, Time elapsed: 0:02:00
[TEST] Epoch: 8, Accuracy: 0.8942071296865396, Error: 0.10579287031346035, Loss: 0.34326006612238447, Time elapsed: 0:00:26

[TRAIN] Epoch: 9, Accuracy: 0.8691729118036502, Error: 0.13082708819634983, Loss: 0.4160634400802444, Time elapsed: 0:02:00
[TEST] Epoch: 9, Accuracy: 0.9052320221266134, Error: 0.0947679778733866, Loss: 0.31744029286381065, Time elapsed: 0:00:26

[TRAIN] Epoch: 10, Accuracy: 0.8764350164489401, Error: 0.12356498355105996, Loss: 0.3975876115730045, Time elapsed: 0:02:00
[TEST] Epoch: 10, Accuracy: 0.9062307928703135, Error: 0.09376920712968655, Loss: 0.3126245829761578, Time elapsed: 0:00:27
Time Elapsed: 0:24:33, average time per epoch: 0:02:00
