
[TRAIN] Epoch: 1, Accuracy: 0.36436108494751357, Error: 0.6356389150524865, Loss: 1.970371755482968, Time elapsed: 0:02:30
[TEST] Epoch: 1, Accuracy: 0.5984173325138291, Error: 0.4015826674861709, Loss: 1.1378822107584694, Time elapsed: 0:00:38

[TRAIN] Epoch: 2, Accuracy: 0.6162824030468078, Error: 0.3837175969531922, Loss: 1.118309581556554, Time elapsed: 0:02:30
[TEST] Epoch: 2, Accuracy: 0.7080132145052244, Error: 0.29198678549477564, Loss: 0.855485496743735, Time elapsed: 0:00:38

[TRAIN] Epoch: 3, Accuracy: 0.7023219624063229, Error: 0.29767803759367706, Loss: 0.8869167523314968, Time elapsed: 0:02:30
[TEST] Epoch: 3, Accuracy: 0.8000153657037492, Error: 0.19998463429625077, Loss: 0.619242841470586, Time elapsed: 0:00:38

[TRAIN] Epoch: 4, Accuracy: 0.753443356948824, Error: 0.246556643051176, Loss: 0.7447336746042913, Time elapsed: 0:02:30
[TEST] Epoch: 4, Accuracy: 0.8249078057775046, Error: 0.1750921942224954, Loss: 0.5414747409499637, Time elapsed: 0:00:38

[TRAIN] Epoch: 5, Accuracy: 0.7806352976507365, Error: 0.21936470234926356, Loss: 0.6667854310543324, Time elapsed: 0:02:30
[TEST] Epoch: 5, Accuracy: 0.8297864167178857, Error: 0.17021358328211433, Loss: 0.5276509435468462, Time elapsed: 0:00:38

[TRAIN] Epoch: 6, Accuracy: 0.8040596803035888, Error: 0.19594031969641126, Loss: 0.6032659570374451, Time elapsed: 0:02:30
[TEST] Epoch: 6, Accuracy: 0.857060540872772, Error: 0.14293945912722802, Loss: 0.4483697696485326, Time elapsed: 0:00:38

[TRAIN] Epoch: 7, Accuracy: 0.8196895859781318, Error: 0.1803104140218682, Loss: 0.556804008910363, Time elapsed: 0:02:30
[TEST] Epoch: 7, Accuracy: 0.869199446834665, Error: 0.13080055316533498, Loss: 0.43041314500639904, Time elapsed: 0:00:38

[TRAIN] Epoch: 8, Accuracy: 0.8331763517479558, Error: 0.16682364825204418, Loss: 0.5231280652806799, Time elapsed: 0:02:30
[TEST] Epoch: 8, Accuracy: 0.8756146281499693, Error: 0.12438537185003073, Loss: 0.40894614186621037, Time elapsed: 0:00:38

[TRAIN] Epoch: 9, Accuracy: 0.8425952468706063, Error: 0.15740475312939378, Loss: 0.49235787751428706, Time elapsed: 0:02:30
[TEST] Epoch: 9, Accuracy: 0.86240012292563, Error: 0.13759987707437002, Loss: 0.4322330758259497, Time elapsed: 0:00:38

[TRAIN] Epoch: 10, Accuracy: 0.8485605471149514, Error: 0.15143945288504854, Loss: 0.4770480022588005, Time elapsed: 0:02:30
[TEST] Epoch: 10, Accuracy: 0.8765749846342963, Error: 0.12342501536570374, Loss: 0.39523401834441607, Time elapsed: 0:00:38
Time Elapsed: 0:31:29, average time per epoch: 0:02:30
