
[TRAIN] Epoch: 1, Accuracy: 0.1685026686869514, Error: 0.8314973313130486, Loss: 2.3742375757323972, Time elapsed: 0:02:45
[TEST] Epoch: 1, Accuracy: 0.15938076213890595, Error: 0.840619237861094, Loss: 2.264445179579957, Time elapsed: 0:00:43

[TRAIN] Epoch: 2, Accuracy: 0.179259319928471, Error: 0.820740680071529, Loss: 2.2594616458419794, Time elapsed: 0:02:45
[TEST] Epoch: 2, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.247788134570787, Time elapsed: 0:00:43

[TRAIN] Epoch: 3, Accuracy: 0.18256275850771939, Error: 0.8174372414922806, Loss: 2.2532189261072486, Time elapsed: 0:02:45
[TEST] Epoch: 3, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2548432996394667, Time elapsed: 0:00:43

[TRAIN] Epoch: 4, Accuracy: 0.18351829859262597, Error: 0.8164817014073741, Loss: 2.250157825766864, Time elapsed: 0:02:45
[TEST] Epoch: 4, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2353291422146992, Time elapsed: 0:00:43

[TRAIN] Epoch: 5, Accuracy: 0.18260371022564398, Error: 0.8173962897743561, Loss: 2.2502395789889515, Time elapsed: 0:02:44
[TEST] Epoch: 5, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2297982992243752, Time elapsed: 0:00:43

[TRAIN] Epoch: 6, Accuracy: 0.18448748925017405, Error: 0.815512510749826, Loss: 2.2485980500147402, Time elapsed: 0:02:44
[TEST] Epoch: 6, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.240331594535157, Time elapsed: 0:00:43

[TRAIN] Epoch: 7, Accuracy: 0.183231636567154, Error: 0.816768363432846, Loss: 2.2473051067372185, Time elapsed: 0:02:45
[TEST] Epoch: 7, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2314898199879765, Time elapsed: 0:00:43

[TRAIN] Epoch: 8, Accuracy: 0.1851973190275332, Error: 0.8148026809724668, Loss: 2.246444052852668, Time elapsed: 0:02:44
[TEST] Epoch: 8, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.23199055732652, Time elapsed: 0:00:43

[TRAIN] Epoch: 9, Accuracy: 0.1858661970869678, Error: 0.8141338029130322, Loss: 2.2462224468564624, Time elapsed: 0:02:45
[TEST] Epoch: 9, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.229537633715338, Time elapsed: 0:00:43

[TRAIN] Epoch: 10, Accuracy: 0.18525192131809928, Error: 0.8147480786819007, Loss: 2.2455679109029907, Time elapsed: 0:02:44
[TEST] Epoch: 10, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2310889914641003, Time elapsed: 0:00:43

[TRAIN] Epoch: 11, Accuracy: 0.18489700642941972, Error: 0.8151029935705802, Loss: 2.2457333506508363, Time elapsed: 0:02:44
[TEST] Epoch: 11, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2296936405020107, Time elapsed: 0:00:43

[TRAIN] Epoch: 12, Accuracy: 0.18369575603696575, Error: 0.8163042439630342, Loss: 2.2451004926179094, Time elapsed: 0:02:45
[TEST] Epoch: 12, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2386461510274334, Time elapsed: 0:00:43

[TRAIN] Epoch: 13, Accuracy: 0.18496525929262733, Error: 0.8150347407073727, Loss: 2.245467056036207, Time elapsed: 0:02:44
[TEST] Epoch: 13, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2332072259460993, Time elapsed: 0:00:43

[TRAIN] Epoch: 14, Accuracy: 0.18639856941998717, Error: 0.8136014305800129, Loss: 2.2448088771248256, Time elapsed: 0:02:44
[TEST] Epoch: 14, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2316484300359014, Time elapsed: 0:00:43

[TRAIN] Epoch: 15, Accuracy: 0.18484240413885364, Error: 0.8151575958611463, Loss: 2.244191319799567, Time elapsed: 0:02:44
[TEST] Epoch: 15, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.231588669180797, Time elapsed: 0:00:43

[TRAIN] Epoch: 16, Accuracy: 0.1856341373520619, Error: 0.8143658626479381, Loss: 2.244379656908838, Time elapsed: 0:02:44
[TEST] Epoch: 16, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.23482777168213, Time elapsed: 0:00:43

[TRAIN] Epoch: 17, Accuracy: 0.18637126827470413, Error: 0.8136287317252959, Loss: 2.244143162592266, Time elapsed: 0:02:44
[TEST] Epoch: 17, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2375979791335263, Time elapsed: 0:00:43

[TRAIN] Epoch: 18, Accuracy: 0.18716300148791243, Error: 0.8128369985120876, Loss: 2.2437052134905664, Time elapsed: 0:02:44
[TEST] Epoch: 18, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2267434841735128, Time elapsed: 0:00:43

[TRAIN] Epoch: 19, Accuracy: 0.18724490492376156, Error: 0.8127550950762384, Loss: 2.243020528393572, Time elapsed: 0:02:44
[TEST] Epoch: 19, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2320950212988593, Time elapsed: 0:00:43

[TRAIN] Epoch: 20, Accuracy: 0.18630301541149652, Error: 0.8136969845885035, Loss: 2.24288233013836, Time elapsed: 0:02:45
[TEST] Epoch: 20, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.239243089017065, Time elapsed: 0:00:43

