
[TRAIN] Epoch: 1, Accuracy: 0.42682, Error: 0.57318, Loss: 1.601714821395874, Time elapsed: 0:02:36
[TEST] Epoch: 1, Accuracy: 0.4805, Error: 0.5195, Loss: 1.4869531772613525, Time elapsed: 0:00:14

[TRAIN] Epoch: 2, Accuracy: 0.64226, Error: 0.35774, Loss: 1.0180495048904419, Time elapsed: 0:02:36
[TEST] Epoch: 2, Accuracy: 0.6262, Error: 0.3738, Loss: 1.2057357357978822, Time elapsed: 0:00:14

[TRAIN] Epoch: 3, Accuracy: 0.73338, Error: 0.26662, Loss: 0.7679487454986572, Time elapsed: 0:02:36
[TEST] Epoch: 3, Accuracy: 0.7139, Error: 0.2861, Loss: 0.9323210912704468, Time elapsed: 0:00:14

[TRAIN] Epoch: 4, Accuracy: 0.78216, Error: 0.21784, Loss: 0.636938201713562, Time elapsed: 0:02:36
[TEST] Epoch: 4, Accuracy: 0.762, Error: 0.238, Loss: 0.7330687971115112, Time elapsed: 0:00:14

[TRAIN] Epoch: 5, Accuracy: 0.80682, Error: 0.19318, Loss: 0.5604459292984009, Time elapsed: 0:02:36
[TEST] Epoch: 5, Accuracy: 0.792, Error: 0.208, Loss: 0.6584684328079223, Time elapsed: 0:00:14

[TRAIN] Epoch: 6, Accuracy: 0.8288, Error: 0.1712, Loss: 0.49671523504257203, Time elapsed: 0:02:36
[TEST] Epoch: 6, Accuracy: 0.8083, Error: 0.1917, Loss: 0.5903788579940796, Time elapsed: 0:00:14

[TRAIN] Epoch: 7, Accuracy: 0.847, Error: 0.153, Loss: 0.4469636497116089, Time elapsed: 0:02:36
[TEST] Epoch: 7, Accuracy: 0.8275, Error: 0.1725, Loss: 0.5343055314064026, Time elapsed: 0:00:14

[TRAIN] Epoch: 8, Accuracy: 0.86006, Error: 0.13994, Loss: 0.40280566717147825, Time elapsed: 0:02:36
[TEST] Epoch: 8, Accuracy: 0.8423, Error: 0.1577, Loss: 0.4805942692756653, Time elapsed: 0:00:14

[TRAIN] Epoch: 9, Accuracy: 0.87468, Error: 0.12532, Loss: 0.36617561168670654, Time elapsed: 0:02:36
[TEST] Epoch: 9, Accuracy: 0.8462, Error: 0.1538, Loss: 0.46585778255462645, Time elapsed: 0:00:14

[TRAIN] Epoch: 10, Accuracy: 0.88616, Error: 0.11384, Loss: 0.3351750705528259, Time elapsed: 0:02:36
[TEST] Epoch: 10, Accuracy: 0.8516, Error: 0.1484, Loss: 0.4678660859107971, Time elapsed: 0:00:14

[TRAIN] Epoch: 11, Accuracy: 0.89446, Error: 0.10554, Loss: 0.3054703814125061, Time elapsed: 0:02:36
[TEST] Epoch: 11, Accuracy: 0.8142, Error: 0.1858, Loss: 0.6230685912132263, Time elapsed: 0:00:14

[TRAIN] Epoch: 12, Accuracy: 0.90104, Error: 0.09896, Loss: 0.28383115463256836, Time elapsed: 0:02:37
[TEST] Epoch: 12, Accuracy: 0.8595, Error: 0.1405, Loss: 0.47945223836898804, Time elapsed: 0:00:14

[TRAIN] Epoch: 13, Accuracy: 0.90946, Error: 0.09054, Loss: 0.2650233091926575, Time elapsed: 0:02:36
[TEST] Epoch: 13, Accuracy: 0.881, Error: 0.119, Loss: 0.36347804489135743, Time elapsed: 0:00:14

[TRAIN] Epoch: 14, Accuracy: 0.91648, Error: 0.08352, Loss: 0.24029860612869264, Time elapsed: 0:02:37
[TEST] Epoch: 14, Accuracy: 0.8814, Error: 0.1186, Loss: 0.37584679431915285, Time elapsed: 0:00:14

[TRAIN] Epoch: 15, Accuracy: 0.92192, Error: 0.07808, Loss: 0.22242565559387206, Time elapsed: 0:02:36
[TEST] Epoch: 15, Accuracy: 0.872, Error: 0.128, Loss: 0.4550380539894104, Time elapsed: 0:00:14

[TRAIN] Epoch: 16, Accuracy: 0.9281, Error: 0.0719, Loss: 0.20721537742614746, Time elapsed: 0:02:36
[TEST] Epoch: 16, Accuracy: 0.8876, Error: 0.1124, Loss: 0.3835075058937073, Time elapsed: 0:00:14

[TRAIN] Epoch: 17, Accuracy: 0.932, Error: 0.068, Loss: 0.19171280034065247, Time elapsed: 0:02:36
[TEST] Epoch: 17, Accuracy: 0.9016, Error: 0.0984, Loss: 0.34070724191665647, Time elapsed: 0:00:14

[TRAIN] Epoch: 18, Accuracy: 0.93676, Error: 0.06324, Loss: 0.17931824236869812, Time elapsed: 0:02:36
[TEST] Epoch: 18, Accuracy: 0.8862, Error: 0.1138, Loss: 0.39029699335098267, Time elapsed: 0:00:14

[TRAIN] Epoch: 19, Accuracy: 0.94088, Error: 0.05912, Loss: 0.16911732568740845, Time elapsed: 0:02:36
[TEST] Epoch: 19, Accuracy: 0.895, Error: 0.105, Loss: 0.3559172534942627, Time elapsed: 0:00:14

[TRAIN] Epoch: 20, Accuracy: 0.94476, Error: 0.05524, Loss: 0.15644053318023682, Time elapsed: 0:02:37
[TEST] Epoch: 20, Accuracy: 0.9002, Error: 0.0998, Loss: 0.3375581937789917, Time elapsed: 0:00:14

