
[TRAIN] Epoch: 1, Accuracy: 0.23096, Error: 0.76904, Loss: 2.1018924219512938, Time elapsed: 0:04:33
[TEST] Epoch: 1, Accuracy: 0.2839, Error: 0.7161, Loss: 1.9574591186523438, Time elapsed: 0:00:38

[TRAIN] Epoch: 2, Accuracy: 0.31642, Error: 0.68358, Loss: 1.8466301399230958, Time elapsed: 0:04:33
[TEST] Epoch: 2, Accuracy: 0.3253, Error: 0.6747, Loss: 1.8488124496459961, Time elapsed: 0:00:38

[TRAIN] Epoch: 3, Accuracy: 0.35374, Error: 0.64626, Loss: 1.7523702291870118, Time elapsed: 0:04:33
[TEST] Epoch: 3, Accuracy: 0.406, Error: 0.594, Loss: 1.638196590232849, Time elapsed: 0:00:38

[TRAIN] Epoch: 4, Accuracy: 0.38642, Error: 0.61358, Loss: 1.6785043730545044, Time elapsed: 0:04:34
[TEST] Epoch: 4, Accuracy: 0.399, Error: 0.601, Loss: 1.6379573066711426, Time elapsed: 0:00:38

[TRAIN] Epoch: 5, Accuracy: 0.41576, Error: 0.58424, Loss: 1.604367158203125, Time elapsed: 0:04:34
[TEST] Epoch: 5, Accuracy: 0.4175, Error: 0.5825, Loss: 1.5917801229476929, Time elapsed: 0:00:38

[TRAIN] Epoch: 6, Accuracy: 0.44846, Error: 0.55154, Loss: 1.5179303520202636, Time elapsed: 0:04:33
[TEST] Epoch: 6, Accuracy: 0.4811, Error: 0.5189, Loss: 1.4495533744812013, Time elapsed: 0:00:38

[TRAIN] Epoch: 7, Accuracy: 0.48068, Error: 0.51932, Loss: 1.4351425065231322, Time elapsed: 0:04:33
[TEST] Epoch: 7, Accuracy: 0.496, Error: 0.504, Loss: 1.4228913822174072, Time elapsed: 0:00:38

[TRAIN] Epoch: 8, Accuracy: 0.50864, Error: 0.49136, Loss: 1.362310372428894, Time elapsed: 0:04:33
[TEST] Epoch: 8, Accuracy: 0.5125, Error: 0.4875, Loss: 1.3576817182540895, Time elapsed: 0:00:38

[TRAIN] Epoch: 9, Accuracy: 0.53878, Error: 0.46122, Loss: 1.284740252227783, Time elapsed: 0:04:33
[TEST] Epoch: 9, Accuracy: 0.5244, Error: 0.4756, Loss: 1.3535355461120606, Time elapsed: 0:00:38

[TRAIN] Epoch: 10, Accuracy: 0.56812, Error: 0.43188, Loss: 1.193951957473755, Time elapsed: 0:04:33
[TEST] Epoch: 10, Accuracy: 0.5888, Error: 0.4112, Loss: 1.1678189695358276, Time elapsed: 0:00:38

[TRAIN] Epoch: 11, Accuracy: 0.60076, Error: 0.39924, Loss: 1.1122567314147949, Time elapsed: 0:04:33
[TEST] Epoch: 11, Accuracy: 0.6226, Error: 0.3774, Loss: 1.0652229307174683, Time elapsed: 0:00:38

[TRAIN] Epoch: 12, Accuracy: 0.62658, Error: 0.37342, Loss: 1.046006940422058, Time elapsed: 0:04:33
[TEST] Epoch: 12, Accuracy: 0.6217, Error: 0.3783, Loss: 1.0686584812164306, Time elapsed: 0:00:38

[TRAIN] Epoch: 13, Accuracy: 0.65106, Error: 0.34894, Loss: 0.9797697760009766, Time elapsed: 0:04:33
[TEST] Epoch: 13, Accuracy: 0.6417, Error: 0.3583, Loss: 1.0213616870880127, Time elapsed: 0:00:38

[TRAIN] Epoch: 14, Accuracy: 0.67058, Error: 0.32942, Loss: 0.9276165700912475, Time elapsed: 0:04:33
[TEST] Epoch: 14, Accuracy: 0.6892, Error: 0.3108, Loss: 0.8841947183609009, Time elapsed: 0:00:38

[TRAIN] Epoch: 15, Accuracy: 0.68796, Error: 0.31204, Loss: 0.8772082793998718, Time elapsed: 0:04:34
[TEST] Epoch: 15, Accuracy: 0.6979, Error: 0.3021, Loss: 0.8799059511184693, Time elapsed: 0:00:38

