
[TRAIN] Epoch: 1, Accuracy: 0.6076825422826487, Error: 0.39231745771735127, Loss: 1.1821613858853388, Time elapsed: 0:03:43
[TEST] Epoch: 1, Accuracy: 0.7859941610325752, Error: 0.2140058389674247, Loss: 0.766818604955808, Time elapsed: 0:00:36

[TRAIN] Epoch: 2, Accuracy: 0.8692957669574238, Error: 0.13070423304257614, Loss: 0.429754453484067, Time elapsed: 0:03:43
[TEST] Epoch: 2, Accuracy: 0.8596727105101414, Error: 0.14032728948985865, Loss: 0.48637332389452886, Time elapsed: 0:00:37

[TRAIN] Epoch: 3, Accuracy: 0.8943445677546173, Error: 0.1056554322453827, Loss: 0.34822469896266306, Time elapsed: 0:03:44
[TEST] Epoch: 3, Accuracy: 0.9020052243392748, Error: 0.09799477566072526, Loss: 0.3349754706290725, Time elapsed: 0:00:37

[TRAIN] Epoch: 4, Accuracy: 0.9104658940442552, Error: 0.08953410595574485, Loss: 0.3029531113999575, Time elapsed: 0:03:44
[TEST] Epoch: 4, Accuracy: 0.8743853718500307, Error: 0.12561462814996927, Loss: 0.4251513843823593, Time elapsed: 0:00:37

[TRAIN] Epoch: 5, Accuracy: 0.9193524168338861, Error: 0.08064758316611381, Loss: 0.2757544883780602, Time elapsed: 0:03:43
[TEST] Epoch: 5, Accuracy: 0.890980331899201, Error: 0.10901966810079902, Loss: 0.3591419031961461, Time elapsed: 0:00:37

[TRAIN] Epoch: 6, Accuracy: 0.926641822624459, Error: 0.0733581773755409, Loss: 0.2525534882338254, Time elapsed: 0:03:44
[TEST] Epoch: 6, Accuracy: 0.8919022741241549, Error: 0.10809772587584511, Loss: 0.36133274784026587, Time elapsed: 0:00:37

[TRAIN] Epoch: 7, Accuracy: 0.9317061850744639, Error: 0.06829381492553613, Loss: 0.234800084608078, Time elapsed: 0:03:44
[TEST] Epoch: 7, Accuracy: 0.9340811309157959, Error: 0.06591886908420405, Loss: 0.22870222243269162, Time elapsed: 0:00:37

[TRAIN] Epoch: 8, Accuracy: 0.9361835729008832, Error: 0.06381642709911681, Loss: 0.21908556290174996, Time elapsed: 0:03:44
[TEST] Epoch: 8, Accuracy: 0.9331976029502151, Error: 0.06680239704978488, Loss: 0.23310836793805606, Time elapsed: 0:00:36

[TRAIN] Epoch: 9, Accuracy: 0.9416438019574921, Error: 0.058356198042507884, Loss: 0.20465731002220638, Time elapsed: 0:03:44
[TEST] Epoch: 9, Accuracy: 0.9307775046097111, Error: 0.06922249539028888, Loss: 0.24906319460402843, Time elapsed: 0:00:37

[TRAIN] Epoch: 10, Accuracy: 0.9458072266131564, Error: 0.05419277338684358, Loss: 0.1938904733116044, Time elapsed: 0:03:43
[TEST] Epoch: 10, Accuracy: 0.9462968653964352, Error: 0.053703134603564844, Loss: 0.1961669131573095, Time elapsed: 0:00:37

[TRAIN] Epoch: 11, Accuracy: 0.9471449827320256, Error: 0.05285501726797439, Loss: 0.18403130735739906, Time elapsed: 0:03:44
[TEST] Epoch: 11, Accuracy: 0.9322756607252612, Error: 0.06772433927473878, Loss: 0.2388027500963387, Time elapsed: 0:00:36

[TRAIN] Epoch: 12, Accuracy: 0.9514176119688221, Error: 0.048582388031177905, Loss: 0.17292340461819233, Time elapsed: 0:03:43
[TEST] Epoch: 12, Accuracy: 0.9478718500307314, Error: 0.052128149969268595, Loss: 0.18938303726468264, Time elapsed: 0:00:37

[TRAIN] Epoch: 13, Accuracy: 0.9529601266773141, Error: 0.04703987332268589, Loss: 0.1661397222872082, Time elapsed: 0:03:43
[TEST] Epoch: 13, Accuracy: 0.9516364474492932, Error: 0.048363552550706825, Loss: 0.18042250256928186, Time elapsed: 0:00:37

[TRAIN] Epoch: 14, Accuracy: 0.9560315055216566, Error: 0.04396849447834337, Loss: 0.15725501919954762, Time elapsed: 0:03:44
[TEST] Epoch: 14, Accuracy: 0.9501767055931162, Error: 0.049823294406883836, Loss: 0.1848350868473939, Time elapsed: 0:00:37

[TRAIN] Epoch: 15, Accuracy: 0.9582019465716587, Error: 0.041798053428341315, Loss: 0.14974313545654536, Time elapsed: 0:03:44
[TEST] Epoch: 15, Accuracy: 0.9511370620774432, Error: 0.04886293792255685, Loss: 0.1897688223405088, Time elapsed: 0:00:37

[TRAIN] Epoch: 16, Accuracy: 0.9595397026905279, Error: 0.040460297309472135, Loss: 0.14287790006358259, Time elapsed: 0:03:44
[TEST] Epoch: 16, Accuracy: 0.9550553165334973, Error: 0.044944683466502766, Loss: 0.1721710795702638, Time elapsed: 0:00:37

[TRAIN] Epoch: 17, Accuracy: 0.9616964931678884, Error: 0.03830350683211161, Loss: 0.13589542785917433, Time elapsed: 0:03:43
[TEST] Epoch: 17, Accuracy: 0.9424170251997541, Error: 0.05758297480024585, Loss: 0.21567916639318624, Time elapsed: 0:00:37

[TRAIN] Epoch: 18, Accuracy: 0.9643174031150606, Error: 0.03568259688493932, Loss: 0.1278006812070133, Time elapsed: 0:03:44
[TEST] Epoch: 18, Accuracy: 0.9538644744929318, Error: 0.046135525507068224, Loss: 0.17963651449092707, Time elapsed: 0:00:37

[TRAIN] Epoch: 19, Accuracy: 0.9655323040801561, Error: 0.03446769591984384, Loss: 0.12115497771496317, Time elapsed: 0:03:44
[TEST] Epoch: 19, Accuracy: 0.9550169022741242, Error: 0.044983097725875845, Loss: 0.17939254661567494, Time elapsed: 0:00:37

[TRAIN] Epoch: 20, Accuracy: 0.9665697476009119, Error: 0.033430252399088145, Loss: 0.11652181407483436, Time elapsed: 0:03:44
[TEST] Epoch: 20, Accuracy: 0.9491011063306699, Error: 0.05089889366933006, Loss: 0.19221464270232422, Time elapsed: 0:00:37

[TRAIN] Epoch: 21, Accuracy: 0.969709379308462, Error: 0.03029062069153801, Loss: 0.10883951082281337, Time elapsed: 0:03:43
[TEST] Epoch: 21, Accuracy: 0.9519437615242778, Error: 0.048056238475722185, Loss: 0.1816826393551891, Time elapsed: 0:00:37

[TRAIN] Epoch: 22, Accuracy: 0.9708969791282744, Error: 0.02910302087172557, Loss: 0.10207721795412049, Time elapsed: 0:03:43
[TEST] Epoch: 22, Accuracy: 0.9529041180086048, Error: 0.04709588199139521, Loss: 0.18657134541098003, Time elapsed: 0:00:37

[TRAIN] Epoch: 23, Accuracy: 0.9734359856395975, Error: 0.02656401436040242, Loss: 0.09764274909638954, Time elapsed: 0:03:44
[TEST] Epoch: 23, Accuracy: 0.9476029502151199, Error: 0.05239704978488015, Loss: 0.21128375519618858, Time elapsed: 0:00:37

[TRAIN] Epoch: 24, Accuracy: 0.9742959717160135, Error: 0.02570402828398651, Loss: 0.09182394681656077, Time elapsed: 0:03:44
[TEST] Epoch: 24, Accuracy: 0.9555547019053473, Error: 0.04444529809465274, Loss: 0.18848485832080272, Time elapsed: 0:00:37

[TRAIN] Epoch: 25, Accuracy: 0.9753470658094107, Error: 0.024652934190589296, Loss: 0.08754047505433558, Time elapsed: 0:03:44
[TEST] Epoch: 25, Accuracy: 0.9542870313460357, Error: 0.045712968653964355, Loss: 0.2039646192716541, Time elapsed: 0:00:37

[TRAIN] Epoch: 26, Accuracy: 0.9769032310905442, Error: 0.02309676890945575, Loss: 0.08248201889773672, Time elapsed: 0:03:43
[TEST] Epoch: 26, Accuracy: 0.9509449907805777, Error: 0.04905500921942225, Loss: 0.20055564433867462, Time elapsed: 0:00:37

[TRAIN] Epoch: 27, Accuracy: 0.9767257736462045, Error: 0.02327422635379554, Loss: 0.07851357383619374, Time elapsed: 0:03:44
[TEST] Epoch: 27, Accuracy: 0.9501382913337431, Error: 0.049861708666256915, Loss: 0.20717786983360742, Time elapsed: 0:00:37

[TRAIN] Epoch: 28, Accuracy: 0.9791146238584708, Error: 0.020885376141529136, Loss: 0.07231740227107772, Time elapsed: 0:03:44
