
[TRAIN] Epoch: 1, Accuracy: 0.7012572177402842, Error: 0.2987427822597158, Loss: 1.2321652732200137, Time elapsed: 0:03:49
[TEST] Epoch: 1, Accuracy: 0.8772280270436386, Error: 0.1227719729563614, Loss: 0.3942280365560563, Time elapsed: 0:00:37

[TRAIN] Epoch: 2, Accuracy: 0.8932252207980125, Error: 0.10677477920198752, Loss: 0.35199339015149417, Time elapsed: 0:03:49
[TEST] Epoch: 2, Accuracy: 0.9142209588199139, Error: 0.08577904118008604, Loss: 0.2846177310923821, Time elapsed: 0:00:37

[TRAIN] Epoch: 3, Accuracy: 0.9134963211706731, Error: 0.08650367882932689, Loss: 0.28969930887758477, Time elapsed: 0:03:49
[TEST] Epoch: 3, Accuracy: 0.9279732636754764, Error: 0.07202673632452367, Loss: 0.24504783764234261, Time elapsed: 0:00:37

[TRAIN] Epoch: 4, Accuracy: 0.9258500894112508, Error: 0.0741499105887492, Loss: 0.25343794331426667, Time elapsed: 0:03:50
[TEST] Epoch: 4, Accuracy: 0.9330823601720959, Error: 0.06691763982790412, Loss: 0.23174610586531263, Time elapsed: 0:00:37

[TRAIN] Epoch: 5, Accuracy: 0.9322385574074833, Error: 0.06776144259251676, Loss: 0.23091407388667176, Time elapsed: 0:03:50
[TEST] Epoch: 5, Accuracy: 0.9346957590657652, Error: 0.06530424093423479, Loss: 0.22687801745272004, Time elapsed: 0:00:37

[TRAIN] Epoch: 6, Accuracy: 0.9380264002074887, Error: 0.0619735997925113, Loss: 0.21119824078371408, Time elapsed: 0:03:49
[TEST] Epoch: 6, Accuracy: 0.941341425937308, Error: 0.05865857406269207, Loss: 0.2110474056163007, Time elapsed: 0:00:37

[TRAIN] Epoch: 7, Accuracy: 0.943077112084852, Error: 0.05692288791514804, Loss: 0.196566452769407, Time elapsed: 0:03:49
[TEST] Epoch: 7, Accuracy: 0.9431853103872158, Error: 0.05681468961278426, Loss: 0.20685479358140868, Time elapsed: 0:00:37

[TRAIN] Epoch: 8, Accuracy: 0.9474725964754221, Error: 0.052527403524577854, Loss: 0.18121544478218912, Time elapsed: 0:03:49
[TEST] Epoch: 8, Accuracy: 0.9441072526121697, Error: 0.055892747387830365, Loss: 0.20061086946165335, Time elapsed: 0:00:37

[TRAIN] Epoch: 9, Accuracy: 0.9502163615763681, Error: 0.04978363842363187, Loss: 0.17049206228969266, Time elapsed: 0:03:49
[TEST] Epoch: 9, Accuracy: 0.9484864781807006, Error: 0.05151352181929932, Loss: 0.18906709446486478, Time elapsed: 0:00:37

[TRAIN] Epoch: 10, Accuracy: 0.9536563058820318, Error: 0.04634369411796825, Loss: 0.16001087816017343, Time elapsed: 0:03:50
[TEST] Epoch: 10, Accuracy: 0.9508681622618316, Error: 0.049131837738168406, Loss: 0.18464695275306114, Time elapsed: 0:00:38
Time Elapsed: 0:44:29, average time per epoch: 0:03:49
