
[TRAIN] Epoch: 1, Accuracy: 0.16607286675676045, Error: 0.8339271332432395, Loss: 2.3314338154703416, Time elapsed: 0:06:38
[TEST] Epoch: 1, Accuracy: 0.19552858020897357, Error: 0.8044714197910264, Loss: 2.284948726775973, Time elapsed: 0:01:38

[TRAIN] Epoch: 2, Accuracy: 0.22127578251907667, Error: 0.7787242174809234, Loss: 2.1784306679382266, Time elapsed: 0:06:39
[TEST] Epoch: 2, Accuracy: 0.28353564843269824, Error: 0.7164643515673018, Loss: 2.058984242851337, Time elapsed: 0:01:38

[TRAIN] Epoch: 3, Accuracy: 0.4018319068484923, Error: 0.5981680931515077, Loss: 1.7267529761525822, Time elapsed: 0:06:39
[TEST] Epoch: 3, Accuracy: 0.5585817455439459, Error: 0.4414182544560541, Loss: 1.328595767375803, Time elapsed: 0:01:38

[TRAIN] Epoch: 4, Accuracy: 0.6077234940005733, Error: 0.39227650599942665, Loss: 1.17121549030551, Time elapsed: 0:06:39
[TEST] Epoch: 4, Accuracy: 0.6875, Error: 0.3125, Loss: 0.9901578797104172, Time elapsed: 0:01:38

[TRAIN] Epoch: 5, Accuracy: 0.6896815321402733, Error: 0.3103184678597267, Loss: 0.9354028930878147, Time elapsed: 0:06:39
[TEST] Epoch: 5, Accuracy: 0.7741625691456668, Error: 0.22583743085433314, Loss: 0.6835258458388973, Time elapsed: 0:01:38

[TRAIN] Epoch: 6, Accuracy: 0.7258145979223829, Error: 0.27418540207761716, Loss: 0.8275401791579562, Time elapsed: 0:06:39
[TEST] Epoch: 6, Accuracy: 0.8069299323909035, Error: 0.1930700676090965, Loss: 0.6013437817634507, Time elapsed: 0:01:38

[TRAIN] Epoch: 7, Accuracy: 0.763531130130909, Error: 0.23646886986909102, Loss: 0.7192211985654792, Time elapsed: 0:06:39
[TEST] Epoch: 7, Accuracy: 0.8316303011677935, Error: 0.1683696988322065, Loss: 0.5262024823367852, Time elapsed: 0:01:38

[TRAIN] Epoch: 8, Accuracy: 0.7923338384045211, Error: 0.20766616159547893, Loss: 0.6357038090507201, Time elapsed: 0:06:39
[TEST] Epoch: 8, Accuracy: 0.8475338045482483, Error: 0.1524661954517517, Loss: 0.48559161104815973, Time elapsed: 0:01:38

[TRAIN] Epoch: 9, Accuracy: 0.810366244863972, Error: 0.18963375513602795, Loss: 0.5825595739004723, Time elapsed: 0:06:39
[TEST] Epoch: 9, Accuracy: 0.8826444376152428, Error: 0.11735556238475722, Loss: 0.38414968569438446, Time elapsed: 0:01:38

[TRAIN] Epoch: 10, Accuracy: 0.824685695564929, Error: 0.17531430443507104, Loss: 0.5375285742128504, Time elapsed: 0:06:39
[TEST] Epoch: 10, Accuracy: 0.8866779348494161, Error: 0.11332206515058389, Loss: 0.367218086927598, Time elapsed: 0:01:38

[TRAIN] Epoch: 11, Accuracy: 0.8415851044951336, Error: 0.15841489550486643, Loss: 0.4895360893983634, Time elapsed: 0:06:39
[TEST] Epoch: 11, Accuracy: 0.8819145666871543, Error: 0.11808543331284573, Loss: 0.37989222282599877, Time elapsed: 0:01:38

[TRAIN] Epoch: 12, Accuracy: 0.8448202902111743, Error: 0.15517970978882564, Loss: 0.4806283996452357, Time elapsed: 0:06:39
[TEST] Epoch: 12, Accuracy: 0.8952059004302397, Error: 0.1047940995697603, Loss: 0.3491087618484846, Time elapsed: 0:01:38

[TRAIN] Epoch: 13, Accuracy: 0.8552493277092974, Error: 0.1447506722907026, Loss: 0.44773637834220736, Time elapsed: 0:06:39
[TEST] Epoch: 13, Accuracy: 0.8987784265519361, Error: 0.10122157344806391, Loss: 0.33383798131234965, Time elapsed: 0:01:38

[TRAIN] Epoch: 14, Accuracy: 0.8661015329593077, Error: 0.13389846704069236, Loss: 0.4177464988152671, Time elapsed: 0:06:39
[TEST] Epoch: 14, Accuracy: 0.9028503380454825, Error: 0.09714966195451752, Loss: 0.32775870157427484, Time elapsed: 0:01:38

[TRAIN] Epoch: 15, Accuracy: 0.8733636376045976, Error: 0.1266363623954025, Loss: 0.3943681144443577, Time elapsed: 0:06:38
[TEST] Epoch: 15, Accuracy: 0.9194452980946527, Error: 0.08055470190534726, Loss: 0.2699964027245058, Time elapsed: 0:01:38

[TRAIN] Epoch: 16, Accuracy: 0.8798476596093207, Error: 0.12015234039067939, Loss: 0.37682317197709325, Time elapsed: 0:06:39
[TEST] Epoch: 16, Accuracy: 0.923440381069453, Error: 0.07655961893054702, Loss: 0.26604037862397, Time elapsed: 0:01:38

[TRAIN] Epoch: 17, Accuracy: 0.8884475203734796, Error: 0.11155247962652033, Loss: 0.35295978321991944, Time elapsed: 0:06:39
[TEST] Epoch: 17, Accuracy: 0.9206745543945912, Error: 0.07932544560540873, Loss: 0.2750096929241853, Time elapsed: 0:01:38

[TRAIN] Epoch: 18, Accuracy: 0.8939760022932962, Error: 0.1060239977067038, Loss: 0.3365855636975607, Time elapsed: 0:06:39
[TEST] Epoch: 18, Accuracy: 0.9221727105101414, Error: 0.07782728948985863, Loss: 0.2662091443856655, Time elapsed: 0:01:38

[TRAIN] Epoch: 19, Accuracy: 0.8977435603423564, Error: 0.10225643965764364, Loss: 0.3259520649626014, Time elapsed: 0:06:39
[TEST] Epoch: 19, Accuracy: 0.9159496004917025, Error: 0.08405039950829749, Loss: 0.2906493022717357, Time elapsed: 0:01:38

[TRAIN] Epoch: 20, Accuracy: 0.9020161895791529, Error: 0.09798381042084715, Loss: 0.3130032590035733, Time elapsed: 0:06:39
[TEST] Epoch: 20, Accuracy: 0.9214044253226797, Error: 0.07859557467732022, Loss: 0.27253816741591375, Time elapsed: 0:01:38

[TRAIN] Epoch: 21, Accuracy: 0.9066437337046289, Error: 0.0933562662953711, Loss: 0.2975585894844239, Time elapsed: 0:06:38
[TEST] Epoch: 21, Accuracy: 0.9254763368162262, Error: 0.07452366318377382, Loss: 0.2591508504852753, Time elapsed: 0:01:38

[TRAIN] Epoch: 22, Accuracy: 0.9114214341291618, Error: 0.08857856587083829, Loss: 0.28450229836052626, Time elapsed: 0:06:39
[TEST] Epoch: 22, Accuracy: 0.926820835894284, Error: 0.07317916410571604, Loss: 0.25317502204963016, Time elapsed: 0:01:38

[TRAIN] Epoch: 23, Accuracy: 0.9111347721036898, Error: 0.08886522789631025, Loss: 0.2818479164640524, Time elapsed: 0:06:39
[TEST] Epoch: 23, Accuracy: 0.9250921942224954, Error: 0.07490780577750461, Loss: 0.2609849718766265, Time elapsed: 0:01:38

[TRAIN] Epoch: 24, Accuracy: 0.9158169185197319, Error: 0.0841830814802681, Loss: 0.27182001159025704, Time elapsed: 0:06:38
[TEST] Epoch: 24, Accuracy: 0.9282037492317148, Error: 0.07179625076828519, Loss: 0.25298528196250064, Time elapsed: 0:01:38

[TRAIN] Epoch: 25, Accuracy: 0.9156258105027506, Error: 0.08437418949724941, Loss: 0.26802495726691966, Time elapsed: 0:06:39
[TEST] Epoch: 25, Accuracy: 0.9238245236631838, Error: 0.07617547633681622, Loss: 0.26697040353366475, Time elapsed: 0:01:38

[TRAIN] Epoch: 26, Accuracy: 0.9214819061659637, Error: 0.07851809383403634, Loss: 0.2549626750105118, Time elapsed: 0:06:39
[TEST] Epoch: 26, Accuracy: 0.9352335586969883, Error: 0.06476644130301168, Loss: 0.2308100165241726, Time elapsed: 0:01:38

[TRAIN] Epoch: 27, Accuracy: 0.9215228578838882, Error: 0.07847714211611177, Loss: 0.24964941866585125, Time elapsed: 0:06:39
[TEST] Epoch: 27, Accuracy: 0.9365012292563, Error: 0.06349877074370006, Loss: 0.23044088361046397, Time elapsed: 0:01:38

[TRAIN] Epoch: 28, Accuracy: 0.9220825313621906, Error: 0.07791746863780935, Loss: 0.24639723919688908, Time elapsed: 0:06:39
[TEST] Epoch: 28, Accuracy: 0.9338890596189305, Error: 0.06611094038106945, Loss: 0.2396853518361465, Time elapsed: 0:01:38

[TRAIN] Epoch: 29, Accuracy: 0.9262050042999304, Error: 0.07379499570006962, Loss: 0.23700669955097148, Time elapsed: 0:06:38
[TEST] Epoch: 29, Accuracy: 0.9332744314689613, Error: 0.06672556853103873, Loss: 0.24116232088631329, Time elapsed: 0:01:38

[TRAIN] Epoch: 30, Accuracy: 0.9281706867603096, Error: 0.0718293132396904, Loss: 0.23075563455757483, Time elapsed: 0:06:39
[TEST] Epoch: 30, Accuracy: 0.9366548862937922, Error: 0.06334511370620774, Loss: 0.23040348710864325, Time elapsed: 0:01:38

[TRAIN] Epoch: 31, Accuracy: 0.931501426484841, Error: 0.06849857351515896, Loss: 0.22143448432743845, Time elapsed: 0:06:39
[TEST] Epoch: 31, Accuracy: 0.9325829748002459, Error: 0.06741702519975415, Loss: 0.24919459776015243, Time elapsed: 0:01:38

[TRAIN] Epoch: 32, Accuracy: 0.9325934722961629, Error: 0.06740652770383718, Loss: 0.21729680159361686, Time elapsed: 0:06:39
[TEST] Epoch: 32, Accuracy: 0.9333512599877074, Error: 0.06664874001229257, Loss: 0.24936803609370892, Time elapsed: 0:01:38

[TRAIN] Epoch: 33, Accuracy: 0.9324842677150307, Error: 0.06751573228496935, Loss: 0.21385323541220572, Time elapsed: 0:06:39
[TEST] Epoch: 33, Accuracy: 0.9383451137062078, Error: 0.06165488629379225, Loss: 0.2287613469340278, Time elapsed: 0:01:38

[TRAIN] Epoch: 34, Accuracy: 0.9367841980971102, Error: 0.06321580190288982, Loss: 0.20168310509617074, Time elapsed: 0:06:39
[TEST] Epoch: 34, Accuracy: 0.9391518131530424, Error: 0.06084818684695759, Loss: 0.2314270802377995, Time elapsed: 0:01:38

[TRAIN] Epoch: 35, Accuracy: 0.93758958188296, Error: 0.06241041811704001, Loss: 0.2006155582931822, Time elapsed: 0:06:39
[TEST] Epoch: 35, Accuracy: 0.9410341118623233, Error: 0.058965888137676704, Loss: 0.22992876580542557, Time elapsed: 0:01:38

[TRAIN] Epoch: 36, Accuracy: 0.9391593977367351, Error: 0.060840602263264945, Loss: 0.19386635574742914, Time elapsed: 0:06:39
[TEST] Epoch: 36, Accuracy: 0.934157959434542, Error: 0.0658420405654579, Loss: 0.24810647118216142, Time elapsed: 0:01:38

[TRAIN] Epoch: 37, Accuracy: 0.9401149378216416, Error: 0.05988506217835838, Loss: 0.18816833783787845, Time elapsed: 0:06:39
[TEST] Epoch: 37, Accuracy: 0.9371158574062692, Error: 0.06288414259373079, Loss: 0.2377931423251733, Time elapsed: 0:01:38

[TRAIN] Epoch: 38, Accuracy: 0.9432545695291917, Error: 0.05674543047080825, Loss: 0.18074867342214126, Time elapsed: 0:06:39
[TEST] Epoch: 38, Accuracy: 0.9314689612784266, Error: 0.06853103872157344, Loss: 0.2664501267796143, Time elapsed: 0:01:38

[TRAIN] Epoch: 39, Accuracy: 0.9453977094339108, Error: 0.05460229056608925, Loss: 0.17394731766490187, Time elapsed: 0:06:39
[TEST] Epoch: 39, Accuracy: 0.9385371850030731, Error: 0.06146281499692686, Loss: 0.24267910126443282, Time elapsed: 0:01:38

[TRAIN] Epoch: 40, Accuracy: 0.9463259483735342, Error: 0.05367405162646573, Loss: 0.16815743637182679, Time elapsed: 0:06:39
[TEST] Epoch: 40, Accuracy: 0.9320835894283959, Error: 0.06791641057160418, Loss: 0.2618436270245175, Time elapsed: 0:01:38

[TRAIN] Epoch: 41, Accuracy: 0.9474043436122145, Error: 0.05259565638778547, Loss: 0.16859326144548903, Time elapsed: 0:06:39
[TEST] Epoch: 41, Accuracy: 0.9399200983405039, Error: 0.060079901659496004, Loss: 0.23869299621177584, Time elapsed: 0:01:38

[TRAIN] Epoch: 42, Accuracy: 0.9488786054574989, Error: 0.05112139454250106, Loss: 0.16208039767093207, Time elapsed: 0:06:39
[TEST] Epoch: 42, Accuracy: 0.9334280885064536, Error: 0.06657191149354641, Loss: 0.2687853544391806, Time elapsed: 0:01:38

