
[TRAIN] Epoch: 1, Accuracy: 0.23159561543606755, Error: 0.7684043845639325, Loss: 2.421603155929893, Time elapsed: 0:06:29
[TEST] Epoch: 1, Accuracy: 0.332360172095882, Error: 0.667639827904118, Loss: 1.9379232860300244, Time elapsed: 0:01:35

[TRAIN] Epoch: 2, Accuracy: 0.4474384700438183, Error: 0.5525615299561817, Loss: 1.6107676508291375, Time elapsed: 0:06:29
[TEST] Epoch: 2, Accuracy: 0.5425629993853719, Error: 0.45743700061462816, Loss: 1.362821412071833, Time elapsed: 0:01:35

[TRAIN] Epoch: 3, Accuracy: 0.5919570825996151, Error: 0.40804291740038495, Loss: 1.2092967581712837, Time elapsed: 0:06:29
[TEST] Epoch: 3, Accuracy: 0.6516979102642901, Error: 0.3483020897357099, Loss: 1.044314745898326, Time elapsed: 0:01:35

[TRAIN] Epoch: 4, Accuracy: 0.6666393655213836, Error: 0.33336063447861636, Loss: 1.001881016738123, Time elapsed: 0:06:29
[TEST] Epoch: 4, Accuracy: 0.7099339274738783, Error: 0.2900660725261217, Loss: 0.8771220391779937, Time elapsed: 0:01:35

[TRAIN] Epoch: 5, Accuracy: 0.7101710416751983, Error: 0.2898289583248017, Loss: 0.8786009852938631, Time elapsed: 0:06:28
[TEST] Epoch: 5, Accuracy: 0.7292562999385371, Error: 0.2707437000614628, Loss: 0.8193810855455756, Time elapsed: 0:01:35

[TRAIN] Epoch: 6, Accuracy: 0.7389327982308858, Error: 0.2610672017691142, Loss: 0.794934575328621, Time elapsed: 0:06:28
[TEST] Epoch: 6, Accuracy: 0.7632145052243393, Error: 0.23678549477566072, Loss: 0.7306837591021502, Time elapsed: 0:01:35

[TRAIN] Epoch: 7, Accuracy: 0.7600638846799623, Error: 0.23993611532003767, Loss: 0.7299751507776552, Time elapsed: 0:06:29
[TEST] Epoch: 7, Accuracy: 0.7912185003073141, Error: 0.20878149969268592, Loss: 0.6474075862873384, Time elapsed: 0:01:35

[TRAIN] Epoch: 8, Accuracy: 0.7830377984356444, Error: 0.2169622015643556, Loss: 0.669487272536743, Time elapsed: 0:06:29
[TEST] Epoch: 8, Accuracy: 0.8031653349723418, Error: 0.19683466502765826, Loss: 0.6064958876089297, Time elapsed: 0:01:35

[TRAIN] Epoch: 9, Accuracy: 0.797480104290375, Error: 0.20251989570962503, Loss: 0.6245847455337976, Time elapsed: 0:06:29
[TEST] Epoch: 9, Accuracy: 0.8191456668715427, Error: 0.18085433312845728, Loss: 0.5619141474485251, Time elapsed: 0:01:35

[TRAIN] Epoch: 10, Accuracy: 0.8105846540262364, Error: 0.1894153459737636, Loss: 0.5814281407439748, Time elapsed: 0:06:29
[TEST] Epoch: 10, Accuracy: 0.8352028272894899, Error: 0.16479717271051014, Loss: 0.514071752111752, Time elapsed: 0:01:35
Time Elapsed: 1:20:39, average time per epoch: 0:06:29
