Minibatch 1: 0.00%, Time elapsed: 0:00:04
Minibatch 2: 0.00%, Time elapsed: 0:00:08
Minibatch 3: 1.56%, Time elapsed: 0:00:12
Minibatch 4: 0.00%, Time elapsed: 0:00:04
Minibatch 5: 0.00%, Time elapsed: 0:00:06
Minibatch 6: 1.56%, Time elapsed: 0:00:11
Minibatch 7: 0.00%, Time elapsed: 0:00:09
Minibatch 8: 0.00%, Time elapsed: 0:00:06
Minibatch 9: 1.56%, Time elapsed: 0:00:12
Minibatch 10: 1.56%, Time elapsed: 0:00:09
Minibatch 11: 0.00%, Time elapsed: 0:00:04
Minibatch 12: 0.00%, Time elapsed: 0:00:11
Minibatch 13: 0.00%, Time elapsed: 0:00:08
Minibatch 14: 0.00%, Time elapsed: 0:00:11
Minibatch 15: 0.00%, Time elapsed: 0:00:05
Minibatch 16: 0.00%, Time elapsed: 0:00:07
Minibatch 17: 0.00%, Time elapsed: 0:00:04
Minibatch 18: 1.56%, Time elapsed: 0:00:12
Minibatch 19: 0.00%, Time elapsed: 0:00:09
Minibatch 20: 0.00%, Time elapsed: 0:00:07
Robustness Accuracy: 0.39%, Total time elapsed: 0:02:40
