Minibatch 1: 12.50%, Time elapsed: 0:00:10
Minibatch 2: 3.12%, Time elapsed: 0:00:17
Minibatch 3: 21.88%, Time elapsed: 0:00:17
Minibatch 4: 17.19%, Time elapsed: 0:00:13
Minibatch 5: 17.19%, Time elapsed: 0:00:13
Minibatch 6: 17.19%, Time elapsed: 0:00:13
Minibatch 7: 12.50%, Time elapsed: 0:00:22
Minibatch 8: 12.50%, Time elapsed: 0:00:15
Minibatch 9: 15.62%, Time elapsed: 0:00:17
Minibatch 10: 18.75%, Time elapsed: 0:00:17
Minibatch 11: 15.62%, Time elapsed: 0:00:15
Minibatch 12: 12.50%, Time elapsed: 0:00:13
Minibatch 13: 15.62%, Time elapsed: 0:00:10
Minibatch 14: 14.06%, Time elapsed: 0:00:10
Minibatch 15: 15.62%, Time elapsed: 0:00:17
Minibatch 16: 12.50%, Time elapsed: 0:00:15
Minibatch 17: 4.69%, Time elapsed: 0:00:17
Minibatch 18: 7.81%, Time elapsed: 0:00:13
Minibatch 19: 9.38%, Time elapsed: 0:00:10
Minibatch 20: 18.75%, Time elapsed: 0:00:13
Robustness Accuracy: 13.75%, Total time elapsed: 0:04:47
