Minibatch 1: 48.44%, Time elapsed: 0:00:01
Minibatch 2: 65.62%, Time elapsed: 0:00:01
Minibatch 3: 59.38%, Time elapsed: 0:00:01
Minibatch 4: 67.19%, Time elapsed: 0:00:01
Minibatch 5: 56.25%, Time elapsed: 0:00:01
Minibatch 6: 53.12%, Time elapsed: 0:00:01
Minibatch 7: 62.50%, Time elapsed: 0:00:01
Minibatch 8: 60.94%, Time elapsed: 0:00:01
Minibatch 9: 62.50%, Time elapsed: 0:00:01
Minibatch 10: 64.06%, Time elapsed: 0:00:01
Minibatch 11: 60.94%, Time elapsed: 0:00:01
Minibatch 12: 65.62%, Time elapsed: 0:00:01
Minibatch 13: 56.25%, Time elapsed: 0:00:01
Minibatch 14: 57.81%, Time elapsed: 0:00:01
Minibatch 15: 53.12%, Time elapsed: 0:00:01
Minibatch 16: 67.19%, Time elapsed: 0:00:01
Minibatch 17: 67.19%, Time elapsed: 0:00:01
Minibatch 18: 68.75%, Time elapsed: 0:00:01
Minibatch 19: 68.75%, Time elapsed: 0:00:01
Minibatch 20: 78.12%, Time elapsed: 0:00:01
Robustness Accuracy: 62.19%, Total time elapsed: 0:00:29
