Minibatch 1: 9.38%, Time elapsed: 0:00:01
Minibatch 2: 17.19%, Time elapsed: 0:00:01
Minibatch 3: 12.50%, Time elapsed: 0:00:01
Minibatch 4: 9.38%, Time elapsed: 0:00:01
Minibatch 5: 9.38%, Time elapsed: 0:00:01
Minibatch 6: 10.94%, Time elapsed: 0:00:01
Minibatch 7: 12.50%, Time elapsed: 0:00:01
Minibatch 8: 9.38%, Time elapsed: 0:00:01
Minibatch 9: 9.38%, Time elapsed: 0:00:01
Minibatch 10: 15.62%, Time elapsed: 0:00:01
Minibatch 11: 9.38%, Time elapsed: 0:00:01
Minibatch 12: 7.81%, Time elapsed: 0:00:01
Minibatch 13: 7.81%, Time elapsed: 0:00:01
Minibatch 14: 15.62%, Time elapsed: 0:00:01
Minibatch 15: 4.69%, Time elapsed: 0:00:01
Minibatch 16: 14.06%, Time elapsed: 0:00:01
Minibatch 17: 10.94%, Time elapsed: 0:00:01
Minibatch 18: 7.81%, Time elapsed: 0:00:01
Minibatch 19: 12.50%, Time elapsed: 0:00:01
Minibatch 20: 6.25%, Time elapsed: 0:00:01
Robustness Accuracy: 10.62%, Total time elapsed: 0:00:29
