Minibatch 1: 51.56%, Time elapsed: 0:00:03
Minibatch 2: 51.56%, Time elapsed: 0:00:03
Minibatch 3: 43.75%, Time elapsed: 0:00:03
Minibatch 4: 40.62%, Time elapsed: 0:00:03
Minibatch 5: 46.88%, Time elapsed: 0:00:03
Minibatch 6: 45.31%, Time elapsed: 0:00:03
Minibatch 7: 31.25%, Time elapsed: 0:00:03
Minibatch 8: 42.19%, Time elapsed: 0:00:03
Minibatch 9: 51.56%, Time elapsed: 0:00:03
Minibatch 10: 53.12%, Time elapsed: 0:00:03
Minibatch 11: 42.19%, Time elapsed: 0:00:03
Minibatch 12: 45.31%, Time elapsed: 0:00:03
Minibatch 13: 42.19%, Time elapsed: 0:00:03
Minibatch 14: 50.00%, Time elapsed: 0:00:03
Minibatch 15: 50.00%, Time elapsed: 0:00:03
Minibatch 16: 37.50%, Time elapsed: 0:00:03
Minibatch 17: 40.62%, Time elapsed: 0:00:03
Minibatch 18: 43.75%, Time elapsed: 0:00:03
Minibatch 19: 39.06%, Time elapsed: 0:00:03
Minibatch 20: 37.50%, Time elapsed: 0:00:03
Robustness Accuracy: 44.30%, Total time elapsed: 0:01:02
