Minibatch 1: 26.56%, Time elapsed: 0:00:04
Minibatch 2: 21.88%, Time elapsed: 0:00:04
Minibatch 3: 28.12%, Time elapsed: 0:00:04
Minibatch 4: 23.44%, Time elapsed: 0:00:04
Minibatch 5: 21.88%, Time elapsed: 0:00:04
Minibatch 6: 31.25%, Time elapsed: 0:00:04
Minibatch 7: 35.94%, Time elapsed: 0:00:04
Minibatch 8: 17.19%, Time elapsed: 0:00:04
Minibatch 9: 31.25%, Time elapsed: 0:00:04
Minibatch 10: 20.31%, Time elapsed: 0:00:04
Minibatch 11: 25.00%, Time elapsed: 0:00:04
Minibatch 12: 23.44%, Time elapsed: 0:00:04
Minibatch 13: 20.31%, Time elapsed: 0:00:04
Minibatch 14: 29.69%, Time elapsed: 0:00:04
Minibatch 15: 28.12%, Time elapsed: 0:00:04
Minibatch 16: 23.44%, Time elapsed: 0:00:04
Minibatch 17: 29.69%, Time elapsed: 0:00:04
Minibatch 18: 29.69%, Time elapsed: 0:00:04
Minibatch 19: 18.75%, Time elapsed: 0:00:04
Minibatch 20: 18.75%, Time elapsed: 0:00:04
Robustness Accuracy: 25.23%, Total time elapsed: 0:01:35
